headine,image_url,authour,entry_date,description,newspaper_name,category,url
"Tinubu’s remarks about Buhari, a statement of fact, says Magnus Abe",https://cdn.punchng.com/wp-content/uploads/2019/04/11154753/Magnus-Abe.jpg,Victoria Edeme,4 June 2022,"Former senator and Rivers State governorship aspirant of the All Progressives Congress, Magnus Abe, has supported comments made by a presidential aspirant, Bola Tinubu, about the President, Major General Muhammadu Buhari (retd.).
",Punch Newspaper,Politics,https://punchng.com/tinubus-remarks-about-buhari-a-statement-of-fact-says-magnus-abe/
Atiku’s ex-aide Ardo elected SDP gov candidate in Adamawa,https://cdn.punchng.com/wp-content/uploads/2018/03/05052951/SDP-logo.jpg,Hindi Livinus,5 June 2022,"Dr Umar Ardo has emerged as the governorship candidate of the Social Democratic Party in Adamawa State.
",Punch Newspaper,Politics,https://punchng.com/atikus-ex-aide-ardo-elected-sdp-gov-candidate-in-adamawa/
"Consensus: Tinubu, Osinbajo, other South-West APC presidential aspirants meet",https://cdn.punchng.com/wp-content/uploads/2022/06/05060342/APC-south-west.jpg,Sodiq Oyeleke,5 June 2022,"The ruling All Progressives Congress presidential aspirants from the South-West and key stakeholders met in Abuja on Saturday.
",Punch Newspaper,Politics,https://punchng.com/consensus-tinubu-osinbajo-other-south-west-apc-presidential-aspirants-meet/
PICTORIAL: Buhari meets APC aspirants ahead of presidential primary,https://cdn.punchng.com/wp-content/uploads/2022/06/05011033/Buhari-APC-aspirants-2.jpg,Noah Banjo,5 June 2022,"The President, Major General Muhammadu Buhari (retd.), on Saturday night met with presidential aspirants of the All Progressives Congress ahead of the party’s presidential primary in Abuja.
",Punch Newspaper,Politics,https://punchng.com/pictorial-buhari-meets-apc-aspirants-ahead-of-presidential-primary/
"Mohammed wins gov primary, thanks Bauchi SSG",https://cdn.punchng.com/wp-content/uploads/2021/12/26212343/Bala-Mohammed1.jpg,Armstrong Bakam,5 June 2022," State Governor, Bala Mohammed, has been declared winner of the rerun governorship primary election of the Peoples Democratic Party in the state.
",Punch Newspaper,Politics,https://punchng.com/mohammed-wins-gov-primary-thanks-bauchi-ssg/
"Ondo attack: Explanations, condemnations, reassurances no longer comforting, says NMA",https://cdn.punchng.com/wp-content/uploads/2017/04/19011053/Nigerian-Medical-Association-NMA.jpg,Samuel Bolaji,5 June 2022,"The Nigerian Medical Association has condemned the “wanton killing” of worshippers at St. Francis Catholic Church, Owa-luwa Street, in Owo town, Owo Local Government Area of Ondo State.
",Punch Newspaper,Politics,https://punchng.com/ondo-attack-explanations-condemnations-reassurances-no-longer-comforting-says-nma/
"Ohanaeze condemns Ondo church attack, tasks Amotekun to buckle down",https://cdn.punchng.com/wp-content/uploads/2021/10/21154737/Ohanaeze-logo-960x672.jpeg,Raphael Ede,5 June 2022,"The apex Igbo Socio-cultural group, Ohanaeze Ndigbo, has condemned the unprovoked attack on St. Francis Catholic Church, Owa-luwa street, Ondo State, describing it as evil.
",Punch Newspaper,Politics,https://punchng.com/ohanaeze-condemns-ondo-church-attack-tasks-amotekun-to-buckle-down/
"Owo church attack: We’ll keep standing against evil, says Osinbajo",,Victoria Edeme,5 June 2022,"Vice President Yemi Osinbajo has stated that the Federal Government will continue to stand against evil.
",Punch Newspaper,Politics,https://punchng.com/owo-church-attack-well-keep-standing-against-evil-says-osinbajo/
I won’t release LAUTECH subvention if lecturers don’t resume – Makinde,https://cdn.punchng.com/wp-content/uploads/2021/03/03142633/Oyo-State-Governor-Seyi-Makinde.jpg,Olufemi Olaniyi,5 June 2022,"The Oyo State Governor, Seyi Makinde, has said the state government will not release the subvention for Ladoke Akintola University of Technology, Ogbomoso unless the Academic Staff Union of Universities in the state-owned university pulls out of the national strike and resume teaching.
",Punch Newspaper,Politics,https://punchng.com/i-wont-release-lautech-subvention-if-lecturers-dont-resume-makinde/
Unpaid arrears: National Assembly workers begin indefinite strike,https://cdn.punchng.com/wp-content/uploads/2018/11/07195443/National-Assembly-complex-Abuja-1.jpg,Leke Baiyewu,5 June 2022,"Workers at the National Assembly, under the auspices of the Parliamentary Staff Association of Nigeria, have commenced an indefinite strike over the non-payment of a backlog of salaries and allowances by the management.
",Punch Newspaper,Politics,https://punchng.com/unpaid-arrears-national-assembly-workers-begin-indefinite-strike/
"Ekiti poll: INEC gets 3,346 BVAS machines, lists eight flashpoints",https://cdn.punchng.com/wp-content/uploads/2022/02/13140625/Bimodal-Voter-Accreditation-System-960x531.png,Friday Olokor,5 June 2022," Independent National Electoral Commission would be deploying 10,269 personnel for the Ekiti State governorship election scheduled for June 18, its Resident Electoral Commissioner, Dr Adeniran Tella, said on Saturday.
",Punch Newspaper,Politics,https://punchng.com/ekiti-poll-inec-gets-3346-bvas-machines-lists-eight-flashpoints/
Candidate kicks as Edo PDP holds fresh senatorial primary,https://cdn.punchng.com/wp-content/uploads/2022/05/22172701/PDPlogo.jpeg,Adeyinka Adedipe,5 June 2022,"With the dust yet to settle over parallel primaries held in Edo by the Peoples Democratic Party, more confusion ensued on Saturday over a fresh election for the Edo North Senatorial ticket.
",Punch Newspaper,Politics,https://punchng.com/candidate-kicks-as-edo-pdp-holds-fresh-senatorial-primary/
We’ll no longer route sensitive election materials through CBN – INEC,https://cdn.punchng.com/wp-content/uploads/2020/09/13025057/Prof.-Mahmood-Yakubu.jpg,Deborah Tolu-Kolawole,5 June 2022,"The Chairman of the Independent National Electoral Commission, Prof Mahmood Yakubu, says sensitive election materials will no longer be “routed” through the Central Bank of Nigeria.
",Punch Newspaper,Politics,https://punchng.com/well-no-longer-route-sensitive-election-materials-through-cbn-inec/
"NASS landlords – Lawmakers who have spent 20 years in Senate, House of Reps",https://cdn.punchng.com/wp-content/uploads/2022/06/05011456/LAWMAKERS.jpg,Leke Baiyewu,5 June 2022," Nigeria returned to democracy in 1999, Nigeria has had four presidents – Olusegun Obasanjo, Umaru Yar’Adua, Goodluck Jonathan and the incumbent, Major General Muhammadu Buhari (retd.).
",Punch Newspaper,Politics,https://punchng.com/nass-landlords-lawmakers-who-have-spent-20-years-in-senate-house-of-reps/
"Enugu PDP gov candidate hails Ekweremadu, others",https://cdn.punchng.com/wp-content/uploads/2019/08/19210945/Ike-Ekweremadu.jpg,Friday Olokor,5 June 2022,"The governorship candidate of the Peoples Democratic Party in Enugu State, Peter Mbah, has expressed gratitude to a former Deputy Senate President, Ike Ekweremadu, and other persons who contested the just-concluded primary in the state for their spirit of sportsmanship in his endorsement for the 2023 on the platform of the Peoples Democratic Party.
",Punch Newspaper,Politics,https://punchng.com/enugu-pdp-gov-candidate-hails-ekweremadu-others/
2023: Akeredolu seeks unity among APC members,https://cdn.punchng.com/wp-content/uploads/2020/09/28142857/Akeredolu-2.jpg,Peter Dada,5 June 2022,"The Ondo State Governor, Mr Rotimi Akeredolu, has commended the state chapter of the All Progressives Congress for the smooth conduct of the just concluded primary.
",Punch Newspaper,Politics,https://punchng.com/2023-akeredolu-seeks-unity-among-apc-members/
